unittitle
"Bapaume, Peufier dit"
"Durand,Jean"
"Duranteau,la nommée"
"Durivaud (Alias Du Rivau,Du Rivaux"
"Duroulet,Delle"
"Dusablé,veuve et sa mère"
Dussault (alias Dusault)
Duthora
"Duverdet,la nommée"
Esmon (alias Edmond)
Etienne de Chamflorie
"Farcot,Elisabeth"
"Faurès,Antoine"
Fenelon
Ferrié (alias Le Ferrier)
"Fichon,Pierre"
"Folleville,sieur de"
"Fontaine,François dit Saint Orange"
Fonteneau (alias Fontenau)
"Forestier,veuve"
"Fortunezay,Brigaud de"
"Fouras,sieur de"
"Fourment,Chevalier de"
"Fourneau,Jacques"
"Fournier,Jean-Pierre"
"Francy,sieur de"
"Frappé,Pierre"
"Fremy,dit Bel-air"
"Friquet,Dame"
"Froulay,sieur de"
"Gabet,Melle"
"Gache,Pierre"
"Galet,la femme"
"Galliffet,sieur de"
"Galocheau,Marie"
"Gannes,sieur de"
"Gardet,veuve"
"Garnier,Jean"
"Gastebois,demoiselle (alias Gattebois)"
"Gaudin,dit Beaulieu"
"Gaudy,Jean dit Delorme"
"Gaulier,Louis"
"Gaulin,Marie-Thérèse"
"Gautier,Alexandre"
"Gautier,l'Abbé"
"Gautier,Louis"
"Geay,Marthe"
Geneteau (alias Genneteau)
"Gennes,Madame de"
"Gennes de Bourchevreuil,sieur de"
"Germé,frères"
"Gibanel,sieur de"
"Gillet,Jean"
"Glénisson,la nommée"
"Godefroy,Henry"
"Gombaud de La Croix,Delle"
"Gouchon,Suzanne"
Goupll
Gourreau (alias Gouraud)
"Gourville-Tivas,sieur de"
"Gouye,le P.jésuite"
"Grailly,Chevalier de"
"Grandmaison,la nommée"
"Grandpré,monsieur de"
"Grandville,sieur de"
"Grasse,Melle de"
"Green,demoiselle"
"Grenon,père et fils"
"Griffolet,sieur de"
"Grimouville,sieur de"
"Grivolière,sieur de"
"Groizeau,Jean"
"Grootes,Henry"
"Grosset,Jean"
"Guerville,Poulain de"
Guesne (alias Guines)
"Guetteau,sieur de"
"Guibaud,Samuel"
"Guichet,Marie"
"Guillard,Gilles"
"Guillemin,Esther"
"Guillou,Pierre"
"Guillyn,Norbert"
"Gusman,Fernando"
"Guymet,Charles"
Hartogue Corneille de
Hazeur;Pierre
"Heen,de"
"Henry,frère"
"Hérault,Nicolas"
"Herry,Sarah,dite Du Plessis"
"Jaboin,Sarah"
"Jacob,Thomas"
"Joannet,Pierre"
"Joyaux,Abraham"
"Kerderf,madame Richer de"
"Labarberye-Malville,sieur de"
"Labarbinays,sieur de"
"Labastide,sieur de"
"Labastierre,Doriveau de"
"Labellefont,Dame de"
"Labelette,Comte de"
"Laboissière-Fénis,sieur de"
"Labonnemelle,sieur de"
"Labossaye,Jean de"
"Laboularderie,Girardin de"
"Laborde,Melle de"
"Labretèche,Melle"
"Labriffe,monsieur de"
"Labrosse,sieur de"
"Labrunière,sieur de"
"Labruyère du Coudray,sieur de"
"Lacapmesure,sieur de"
"Lacetierre,Florent de "
"Lachassaigne,sieur de"
"Lachasseraye,sieur de"
"Lachauverie,monsieur de"
Lacherpentrie
"Lachesnaye,sieur de"
"Lachesnaye,le cadet"
"Lachevalerie de la Mothe,sieur de"
"Lacité-Danican,sieur de"
"Laclocheterie,sieur de"
"Lacourtaudière,sieur de"
"Lafaye,Pierre"
"Lafilière,sieur de"
"Lafon,François"
"Laforest,sieur de"
"Lafrégonnière,sieur de"
"Lagalissonnière,sieur de"
"Lagarde-Jazier,sieur de"
"Lagastienière,sieur de"
"Lagny,sieur de"
"Lagrange-Chancel,sieur de"
"Lagrange,sieur de"
Lagrifoûil
"Lagrossinière,sieur de"
"Lahante,Dame de"
"Lahautemaison,sieur de"
"Lajonquière,de"
"Lallier,de"
"Lamadeleine,sieur de"
"Lamaignière,veuve de"
"Lamainferme,demoiselle de Laborde"
"Lamalmaison,monsieur de"
Lamare de Caen
"Lamirande,sieur de"
"Lamoinerie-Miniac,sieur de"
"Lamorlière,sieur de"
"Lamothe,Mademoiselle de"
"Lamothe-Cadillac,sieur de"
"Lamothe-d'Eyran,sieur de"
"Lamothe-Guérin,sieur de"
"Lange,Julien"
"Langeville,Daudibert de"
"Langlade,sieur de"
"Langlais,Daniel"
"Lanion,monsieur de"
"Lanoue,monsieur de"
"Lapigeonnière,des Chandeliers de"
"Laplace,Puiguerant de"
"Lapommeraye,sieur de"
"Laporte,sieur de"
"Laporte,seigneur"
"Lapoterie,sieur de"
"Lapoupelière,sieur de"
"Larichardière,sieur de"
"Larigaudière Froger,sieur de"
"Larivagerie,Viette de"
"Larochalard,sieur de"
"Larochalart,sieur de"
"Laroche,Pierre"
"Laroche Brochard,Madame de"
"Laroche Courbon,demoiselle de"
"Laroche Saint-André,sieur de"
"Laronce,sieur de"
"Laronde,sieur de"
"La Ronde Denis,sieur de"
"Laroque Persin,sieur de"
Laroullais;sieur de
"Lartaignac,sieur de"
"Laruffinière,sieur de"
"Laruffinière,Thébaud de"
"Lasalle,Chevalier de"
"Lasalle Vaumondoit,sieur de"
"Lasausaye,Chevalier de"
"Lasauvagère,de"
"Laserre,Madame"
"Lasse,sieur de"
"Lasuze,sieur Reverend de"
"Latour,sieur de"
"Latour,Dame de"
"Latour,Jacques de"
"Latour,Pierre"
"Latour Landry,sieur de"
"Launay,Madame de"
"Launay,sieur de"
"Laur,Comte de"
"Laur,Chevalier de"
"Laur,Baron de"
"Lauzon,veuve de"
"Laval,Chevalier de"
Lavau St Etienne
"Lavieuville,demoiselle"
"Lavoux,sieur de"
"Lebigot,Jacques"
"Leblanc,Père Jésuite"
"Lechat,Jacques"
Leclerc-Duguesteau
"Leclerc,veuve"
"Ledantec,Bernard"
"Lefébure,Marie"
Lefêvre de Chassenay
"Legourd,André"
"Lemayrat (alias le Mairat,le Meyrat)"
Lepine Danican
Leroy de La Potterie
"Leroux,veuve"
"Lescorce,sieur de"
"Lescot,Jean"
"Lespinay,sieur de"
L'estry (alias Listrek-Vrai nom:Lestrille)
"Letac,Marguerite"
"Létenduère,sieur de"
"Letur,sieur de"
"Levaillant,Charles"
L'hermitte
L'hostellier
"Lignon,de"
"Ligondez,sieur de"
"Lionsac,monsieur de"
"Lisle,Madame de"
"Livernan,sieur de"
"Logivière,de"
"Longchamps,sieur de"
"Longueuil,sieur de"
"Lopez de Paès,Antoine"
"Loppinot,Jean-Chrysostome"
"Lostange,sieur de"
"Louvigny,sieur de"
"Lubert,Louis de"
"Lumeau,Marguerite,veuve"
"Lusançay,sieur de (alias Luzançay)"
"Lusignan,sieur de"
"Macarel,Jean"
"Machors,l'abbé"
"Machoy,l'abbé (voir Machon)"
"Mainguin,Jacques"
"Malvau,sieur de"
"Malville,sieur de La Barberie de (alias Maleville)"
"Manquartier,François (alias Mancartier)"
"Marcillac,sieur de (alias Marsillac)"
"Mareuil,dame de"
"Marie,François"
"Marigny,sieur de"
"Marois,Elisabeth"
"Martel,Madame de"
"Martel,sieur de"
"Martin,Louis"
"Martin,Nicolas"
"Martin,François"
Martin de Fonclou
"Massey,Fr-Thérèse"
"Massiot,veuve"
"Masson,dame"
Mauclerc Du Péré
"Maudin,Jean dit l'Espérance"
"Maule,Logivière de"
"Maupéou,Chevalier de"
"Maurat,veuve"
"Maurville,sieur de"
"Mauzé,Gabriel"
"Meillat,Nicolas dit Sans-Crainte"
"Méneleau,Jean"
"Menou,les frères"
"Mereuil,sieur de"
"Mesle,l'abbé"
"Meunier,Jean"
"Mianne,sieur de"
"Minvielle,sieur de"
"Miossens,Comtesse de"
"Miraillet,demoiselle"
Mitifeu;Jean
"Modieu,sieur de"
"Montgeron,sieur de"
"Montgrué,sieur de"
"Montholon,sieur de"
"Monthulé,de"
"Montlaur,Chevalier de"
"Montrevel,Maréchal de"
"Montrioux,Chevalier de"
"Montsoreau,Comte de"
"Montviel,Chevalier de"
"Morat,François,dit Saint Louan"
"Moreau,Pierre"
"Moreau,Hector"
"Morienne,Dame"
"Mornac,Comte de"
"Mortemart,Duc de"
"Mothe,Melle de (voir Lamothe)"
"Mouchard,veuve"
"Mounier,Jean"
"Moyencourt,sieur de"
"Murat,sieur de"
"Mustelier,veuve"
"Naudin,Jean"
"Naurois,sieur de"
"Navarrot,Jean"
"Neau,Charles"
"Neuville,sieur de"
"Neuville,de"
"Nezereau,veuve Massiot"
"Niorderie,sieur de"
"Noé,Chevalier de"
"Noêl,Philippe"
"Nogent,sieur de "
"Nolinos,sieur de"
"Nordink,veuve"
"Noré,demoiselle de"
"Noyan,Chairy de"
"Noyé,Pierre"
"Orteaux, Dame Elisabeth"
"Parage, Sieur de"
"Pesclavé, Sieur des bois"
"Pesseville, Sieur de"
"Pichon, Veuve"
"Pionsac, Sieur de (alias Pionsat)"
"Polignac, Sieur de"
"Pompadour, Monsieur de"
"Pons, Sieur de"
"Pontac, Sieur de"
"Pontchartrain, Comte de"
"Pontmarois, Sieur de"
"Priée, Sieur de"
"Putigny, Chevalier de"
"Rambault, La Nommée"
"Raymond, Chevalier de"
"Reals, Madame Fénelon de"
"Reals, Sieur de"
"Réalt, Sieur de"
"Regnault, Veuve"
"Remond de Villognon, Chevalier de"
"Rémonville, Sieur de"
"Richard, Veuve"
"Richebourg, Monsieur de"
"Richer, Dame"
"Ricouart, Sieur de"
"Rimbertut, Sieur de"
"Ronsay, Sieur de"
"Rousseau, Dame"
"Rozel, Marquis"
"Sabran-Montblanc, Chevalier de"
"Saint-Abre, Chevalier de"
"Saint-Fort, Mademoiselle de"
"Saint-Gelais, Marquis de"
"Saint-Hubert, Sieur de"
"Saint-Maure, Marquis de"
"Saint-Michel, Veuve Charlotte de"
"Saint-Ovide, Sieur de"
"Saint-Père, Dame de"
"Saint-Simon, Sieur de"
"Saint-Vandrille, Sieur de"
"Saint-Vincent, Sieur de"
"Sainte-Colombe, Monsieur de"
"Sainte-Hermine, Chevalier de"
"Sainte-Marthe, Sieur de"
"Salagnac, Sieur de"
"Santis, Monsieur de"
"Sarry, Sieur de"
"Sartre-Vacquerot, Sieur de"
"Saujon, Chevalier de"
"Saumery, Comte de"
"Savary, Demoiselle"
"Savonnière, Sieur de"
"Selle, Monsieur de"
"Serigny, Sieur de"
"Serpault, Veuve (alias Serpaud)"
"Simonnet, Sieur de"
"Simonnet, Sieur de La Grossinière"
"Sossiondo, Sieur de"
"Soubras, Monsieur de"
"Sougé, Dame de"
"Sougé, Sieur de"
"Sourant, La nommée"
"Spiet, Sieur de"
"Surgères, Vicomte de"
"Talmont, Prince de"
"Tenville, Sieur de"
Tercinien (alias Tercinier)
"Tisné, Sieur de"
"Tonty, Sieur de"
"Torcy, Veuve du sieur de"
"Touchimbert, Madame de"
"Tourlandry, Chevalier de"
"Tréhard, Dame (Françoise Chartier)"
"Trency de Charmail, Sieur de"
"Valigny, Sieur de"
"Vandé, Veuve du Sieur"
"Varennes, Sieur de"
"Vassé, Marquis de"
"Vaudreuil, Philippe de Rigaud Marquis de"
"Vauzelard, Sieur de"
"Vaulx, Sieur de"
"Vaulxminars, Sieur de"
"Veronneau, Dame"
"Vieulle, Marquis de"
"Vieuxville, Marquise de"
"Vigny, Chevalier de"
"Vilennes, Sieur de"
"Villars-Lugein, Sieur de"
"Villautrays, Sieur de"
"Villette, Marquis de"
"Villiers, Sieur de"
"Villieu, Sieur de"
"Voutron, Sieur de"
"Vrevins, Marquis de"
Abbesse l’
Adrien Philibert
Aleu Adrien
Allain Jacques
Allaire Esther
Alleaume Nicolas
Allenet Samuel
Antoine Jean
Archambaud Pierre
Archambault Jean
Ardillon Jean
Ardouin Mathurin
Armand Jacques
Arnaud Jacques
Arnoult Jacques
Aubruchet-Montolier Pierre
Auday Martin
Aufray Louis
Auger Louis
Augeraud François
Augereau François
Autrusseau Jean
Avoine André
Babin Jacques
Bachedergue Jean
Badeau Jacques et Fabien
Balan Jacques
Banville de
Baran Amable
Barat Nicolas
Baraudin de
Bardet Simon
Bargeau Jean
Bariat Michel
Barillon Etienne
Barré Charles 
Barrère de
Barret Jean
Barrilly de
Barrisson Jean
Basmaison de
Bastard Jean
Baubry Elie
Baudouin Charles
Baudy Jean
Bault Jean
Bazin Nicolas
Beauchesne de
Beaucourt François
Beaules de
Beaulieu de
Beaulieu-Legris Noël
Beaumont de
Beaussan de
Beauvais Jean
Beauville de
Beauvoilier de
Becheron de
Belisle de
Belmont Pierre
Belnau Joseph
Belot Joseph
Bélugard Dupin de
Benard Michel
Benault Dame
Benezy Nicolas
Benoist Pierre
Benoist Alexis
Bérissé Jean
Berny de
BettefortJean
Beuf Thomas
Beurte Fortin
Beuyer de
Bienville de
Bigot Gilles
Bihoreau Denis
Billaud Antoine François
Biraut François
Bizaut François
Blanchard Jean
Blanchard Antoine
Blanchard Angélique
Blanchet Louis
Boirand Cl Denis
Boisclairs de
Boisdavid de
Boishébert de
Boispinault de
Boisquenet de
Boisseau Christophe
Boisson Pierre
Boitié chevalier de
Bone chevalier de
Bonneau Jean et Pierre
Bonneau Frères
Bonneau Louis
Bonneau Pierre
Bonnet Simon
Bonneteau André
Bontemps Jacques
Bordegaraye de
Bossu Paul
Boullineau Grégoire
Bourdin Jacques
Bourge de
Bourges de
Bourgeaud François
Bourgeois Jean
Bourville de
Boussary Daniel
Bouyer André
Boyer Jean
Bras Etienne
Bréda de
Breslay de
Bressin de
Breton François
Brisson Pierre
Brochant Claude et Jean
Brun Antoine
Bruneteau Joachim
Brunetier Jean
Bureau André
Bureau Jeanne
Bussac de
Butran Pierre
Cabanès feu
Cadouche Ant. Dominique
Caffaro de
Caille Isabelle 
Calabrun Isidore
Calmalh de
Calvimont de
Cambour de
Candé Jacques
Cappert David
Caradec Paul
Carrière François
Causic Rolland
Cazeneuve Michel de
Chabannes de
Chabot Jacques
Chabot Léon
Chabot de
Chaineau Pierre dit La Violette
Chameau Christophe
Champagné de
Champlain de
Champmeslin de
Champot François
Chantenay de
Chantereau Suzanne
Chanut Michel
Charanville de
Charlau François
Charlot Jean
Charmail de
Charon Marc
Charpentier Pierre
Charrier Louis
Chasseriau Blaise
Chasseur Amadé de
Chateaugué de
Châteauneuf de
Chauvry Charlot de
ChavIgny de
Chazel de
Chetiveau de Roussel Claude
Cheureux Michel
Chevalier Jeanne
Chevalier Pierre
Chevillon Jean
Chézac de
Cholenec de
Chotard Elie
Clavel de
Clavier Antoine
Clément Antoine
Clerbout J.B.
"Clerc du Guerteau,"
Clergeau François
Clergeau Simon
Coatéric de
Colinet François
Combour de
Compant Antoine
Cordier François
Cornet Charles
Cornu Henri
Corraud-Duharot Nicolas
Courcelles de
Cousicot Jacques
Cremon André
D’albon Lefèvre
Daniaud Thimottée
David Louis
David Sébastien
Deau Louis
Delacoste Jean
Delacroix Pierre
Delacroix Jérôme
Delaistre François
Delarbre Pierre
Delbrouck Henry
Delouche François
Denis Antoine
Denizesery Jacques
Depocimiro Pierre
Desmortiers Elie
D’Espaigne Pierre
Devaux Antoine
Devie Pierre
Deville Louis
Dieterich Alexis
Dieuze Jacques
Dizé François
Dodin Louis
Donnet Léonard
Dorbey Jeanne-Suzanne
Drouillard Jacques
Drouillard René
Drouin Nicolas
Dubois Jean
Dubois Honoré
Dubois Marie
Ducarlot Raymond
Ducoudray Guimont
Dufort Léonard
Dufour François
Duhamel Laurent
Duport Jean
Dupré Pierre
Dupuis Vincent
Dupuy Victoire
Durand Pierre
Durand Jean
Dutour Pierre
Duverger André
Emine Nicolas
Encker Laurent
Eschevins Charles
Esnard Jean
Eston Jean
Etourneau Pierre
Faizeau Pierre
Faure Raymond
Fausset François
Favier Jean
Feliers Michel
Fenis de
Ferrare François
Ferrier Pierre
Feuquières de
Fleury Louis
Fleury Louis-Ch
Fleury Jean
Folleville de
Fondelin de
Fontais de
Fontenay de
Fontenay-Montreuil de
Fontès de
Fontriveaux de
Forant de
Forge de
Fortin François
Fortis Burthe
Fouras de
Fourneau Jean
Fournier Marie
Fradet Louis
Fragneau Laurent
Fragneau André
Francy de
Froment Nicolas
Gabaret de
Gabert Antoine
Gabory Jean
G.Aguignolle Mathurin
Gaillard Pierre
Gallé Louis
Gallien Michel
Gapais Louis
Garnier Charles
Garnier Etienne
Garnier François
Gascherie de
Gasnier Jacques
Gaudineau Louis
Gaulet Nicolas
Gaultier Louis
Gaultier Marie
Gaumont de
Gautron Etienne
Gauvain Jean-Baptiste
Gélineau Jean
Gémond Pierre
Geneien de
Genevais Louis
Gentil Pierre
Gerber Jacob
Germain Jean
Gerzau Louis
Gifford de
Gill Abraham
Gillard Thomas
Gillon Mathieu
Girard Jean
Girardeau Jacques
Giraud Pierre
Giraud Blaise
Giraudet Daniel
Givry de
Gomme Pierre 
Gosset Jean
Goubelet Jean
Goudin Jeanne
Gouineau Jean
Gourgues Claude
Gournet Antoine
Goursclas de
Goursolas de
GoutronJacques
Grabeuil Pierre
Gracineau François
Granau Philibert
Grandchamps de
Granguillaume Pierre
Grandpré de
Grandvil de
Grangé Pierre Antoine
Gravouil Louis
Grollier Jean Baptiste
Grollier Robert
Groudel Philippe
Guaide Barthélémy
Guenegrad Jean
Guerche de
Guérin Louis
Guérit Hilaire
Guerre Charles
Guet François
Guiaud François
Guilbaud Jacques
Guillaume Jacques
Guilloirs Jean
Guillon Jean
Guillonneau René
Guillot Joseph
Guy Samuel
Hallé Antoine
Haston Louis
Hausen Jean-Hugo
Haynault Jean-Pierre
Hébert Etienne
Héraud Daniel
Héraud Jean
Hérault François
Hérissé Jean
Hervé Jean
Himbert Jacques
Honoré François
Houget Mathurin
Imbert François
Jacquelin Pierre
Jahan René
Jamet Pierre
Jamon Jean
Jardeau Jean
Jaulin Jacques
Jobert Pierre
Joly Jean
Joncoux de
Juge Jean
Julien Jacques
Julien Louis
Kerjaumol de
"Kusoret de, "
"Labadie de,"
Laberie Arnaud
Labernardais de
Lacroix de
Lafalconnière de
Lafaure Raymond
Laffont Guillaume
Lafilière de
Lafillière de
Lafon François
Lafrégonnière de
Lagarenne de
Lagny de
Lagorgendière de 
Lagrange de
Lagrange-Beaucorps de
Lagranville de
Lagrave Marie-Antoinette
Lahautemaison de
Lahaye Philippe
Lajaille de
Lajauclière de
Lajordanie de
Lalance de
Lalande Jean
Lalande de
Lamaison Jean
Lamaison Debois
Lamaisonfort de
Lamartinière Jean
Lamirande de
Lamorlière de
Lamoussière de
Lamothe-Aigron de
La Motte-d’Eyran de
Lamustière de
Laneuville de
Langlume Pierre
Lanouiller de
Larembergue de
Laresnière de
Larigaudière- Froger de
Larnage de
La Rochalar de
La Roche de
La Ronde de
La Roulais de
La Roulière de
La Routière de
Lasalle-Desgouttes de
Laserre Pierre
Lataille Jean
Latour Pierre
Latournerie de
Latresne de
Latuillerie de
Lavallette de
Lavardin de
Lavau Jean
Laverne Marianne
Leboeuf Antoine
Leboeuf François
Leboeuf Noël
Leclerc Jacques
Lecourt François
Lecoute Jean
Lecoz Tanguy
Ledu Catherine
Lefebvre Joseph
Lefèvre Pierre
Legand Jacques
Léger François
Legrand François
Legrand Jacques
Legrand Pierre
Legris Denis
Lehomme Marci
Lehoux François
Lemaître Joseph
Lemasle Jean
Letard Guillaume
Lévécot Jean
L’Hardy Pierre-Louis
L’Homme Bernard
Libaut Claude
Libert Hercule
Lignières de
L’Illeau de
Liizardais de
Lompré Jean
Lonchamps de
Longchamps-Montendre de
Longpré de
Loué François
Louvergny de
Luteau René
Mabile Claude-Thomas
Machefolière de
Maillot Jean
Maisonville de
Malder Jean
Maleissie de
Malvault de
Marchainville de
Marchand François
Marchand Jean
Marconnay de
Marin Jacques
Mariol de
Marot Isabelle
Martel de
Martin jean
Martin Louis
Martin Pierre
Massé Jean
Massé Sébastien
Massiac de
Massicot Michel
Mauchrétien Charles
Mauclerc de
Maury Félix
May Jean
Mayrat de
Mazoulier de
Melon Jean
Menu Pierre
Mercier Pierre
Mérique Jean
Mesnard Jean
Mesnier Jacques
Mesnier Paul
Methereau Pierre
Méthiveau Pierre
Meunier Jean
Mezy de
Milet Jean
Mirmont de
Moisset de
Momain Jean
Mongriveu François de
Monliart de
Monnay André
Monrioux de
Monségur de
Montésié Pierre et André
Montholon de
Montlevrier de
Monviou de
Morainville de
Moreau Jacques
Moreau Jean
Moreau Louis
Moreau Pierre
Mothé Mathurin
Mouron François
Moussion Louis
Musinot de
Nadeau Julien
Naudin Madeleine
Naulet Jacques
Navarre Robert
Nebout Jean
Nion François
Niou Jean
Nique Jacques
Noinville de
Noireau Pierre
Nolivos de 
Norey de
Normand Jean
Normandin Joupt
Nouailles de
Nugue Guillaume
Pallette Antoine
Palliau Pierre
Parat Jacques
Pardaillan de
Paris de
Pastureau François
Patino de
Pavie Jean
Payen Barthélémy
Pelier Vincent
Pélissier André
Pelisson Guillaume
Pelletier Guillaume
Pelletier Jean
Pentrez de
Pépinet de
Perciot Gilles
Perony Robert
Perrais Olivier
Perrault Vincent
Perret Olivier
Petit Fortis
Petit Jean
Petitpas Isidore
Petitteau Michel
Phelipon Pierre
Pierremenu de
Pinault Mathieu
Piteau Jean
Placier Nicolas
Pluschon Jean
Poemiero Pierre de
Poincy de
Poirier Pierre
Pompadour de
Ponthieu de
Pope Corneille et Laurent
Pouillou Henry
Poupart Jean-Baptiste
Préau Louis
Préteseille de
Priou Mathurin
Purel Florent
Querton Jean
Quinault Pierre
Raboteau Constans
Raboin François
Rambourg Etienne
Raoulx Pierre
Rastouit François
Ravenel de
Réals de
Renaud François
Renaud Jean
Renaudeau Louis
Renaudin Pierre
Renaudot François
Reveillac Jacques
Richelet Nicolas-Pierre
Ricols de
Ricouart de
Rigault Pierre-François
Rivière Jean
Robecourt Geneviève et Marie
Robert Pierre
Rochalar du 
Rochechouart de
Rochefort de
Rodier Paul
Rolland François
Rollandeau Jean
Romagny de
Ronega Jean
Rouaux Pierre
Roulet François
Roulleau Antoine
Roullet Gabriel
Rousseau Jacques-André
Rouvroy de
Roux André
Roy Pierre
Rozier Antoine et Germain
Ruis de
Rulleau Antoine
Ruolt de
Sabourin Jean
Sabran-Salperme de
Sabrevois de
Saint-Aubin de
Saint-Aulaire de
Saint-Cyr de
Saint-Hubert de
Saint-Lazare de
Saint-Léon de
Saint-Martin Pierre
Saint-Martin de
Saint-Rome de
Saint-Vallier de
Saint-Victor de
Sainte-Gemme de
Salmon Pierre et Jacques
Salomon François
Salviat Edmond
Sardon Pierre
Sarret Pierre
Sartre de
Sauvain Jeanne
Savary François
Sebrin Jacques
Selle Florent
Serpoin Laurent
Sicaud Etienne
Silly de
Size Charles
Smith Abigaël
Sordy Charles
Sorlin Pierre
Sossiondo de
Stal Jean
Sureau Jean
Tamagnon Hermitte
Tanger Georges
Ternin Julien
Tesson Nicolas
Testard Antoine
Testart Etienne
Tiébou Louis
Tieulet François
Tigné de
Timbal JB
Todein Louis
Torcheboeuf-Lecomte Angélique et Victorine
Tourisseau Marguerite
Tribon H
Trichereau François
Trichet François
Vallée Paul
Vallet Pierre
Varennes de Vaccans de
Vassan de
Vaulezard de
Vaumorant de
Vedeau Pierre
Vendosme-Huet de
Venier de
Verneuil Marie
Verneuil de
Verret François
Verron Guillaume
Viaud Pierre
Vic de
Vidal Anne
Vidal Jacques
Videau Nicolas
Vié Pierre
Vienne-Busserolles de
Vierneau Jean
Vieuxchamps de
Vignaud Isaac
Vigné de
Vilain Nicolas
Villardeau de
Villejouin de
Villeluisant-Hurault de
Villers-Framure de
Villette de
Villevieille de
Villiers de
Vincendeau Jean
Vincheguerre de
Vinet Jean
Virfond Jean
Viset Jean
Vitré Denis de
Vivant Pierre
Voland Grégoire
Vourpe Vincent
Watteville Sigismond de?
Yon Pierre
Albert Pierre
Alexander Alexandre
Amelineau Jean
Aubert Louis
Ausmand Thomas
Autain Pierre
Babin Pierre
Balafer Isaac
Bardel Simon
Barbaud François
Barraud Alexis
Barrière François
Bastien Pierre
Batard Jean
Baudouin Jean
Beau de la Vincende Charles
Beauclerc Milord
Beaucours de
Beauharnais
Beauharnais-Beaumont de
Beaujeu 
Beauquaire de
Beauregard M. de
Béchet André
Belugard de
Benneville
Bernard Geneviève
Bernard Jacques
Bernardeau Marguerite
Berny de 
Bertet de
Bertet Joseph 
Berthelot François
Berthelot Jacques
Bertret Joachim
Béthune
Bigot Mlle
Billy de 
Biron de
Bitaud Aimé
Blanchard François
Blanchet Marie
Blémur de
Boin Nicolas
Boinot Jean
Boisdebon André
Boisfermé de
Boisseau Joseph
Bonneteau Antoine
Bordier Etienne
Bouchet Michel
Boureau Laurent
Bourgeois Michel
Bouriau Laurent
Bouriaud Blaise
Bouron André
Boyer Laurent
Brassac de
Brelay Jacques
Bretauville de
Briaman Guillaume
Brunet Antoine
Bureil Victor
Cadeville
Cail Jean
Calbrun Isidore
Calvet Jérôme
Cantin François
Casenare de
Cassé François
Catelin Isidore
Cavagnol de
Chadouteau Louis
Chancy de
Chapelin Nicolas
Charles Joseph
Charlet Michel
Charnacé de
Charpentier Joseph
Charrier Augustin
Chateaubardon
Chateaugué
Chatelier Pierre
Chateauneuf de
Chateaurenard de
Chauveau Marie
Chauvry de
Cheverry de
Chevigny de
Chevreux René
Chezar de
Chinson Jean
Cholennec de
Claude Jean
Clerget Nicole
Coeffier Antoine
Coetarie de
Combes de
Conflans 
Confoulens Bernard
Contrecoeur de
Corail Pierre
"Costar,Mme"
Coudreau de
Coulombe M de
Coulons chevalier de
Courbon Blénac de
Courbon Mme de 
Coustand Arnaud
Couturier l’abbé
Cremont de
Crémont de
Cresnay Baron de
Crezol de
Culant M. de
D’amfreville chevalier
Damphoux Mme
Dan Laurent
Dano chevalier
Anqueville chevalier d’
Antin marquis d’
Appougny d’
D’Arcy marquis
D’Ars madame
D’Artagnan comte
Dartaguiette Diron
David René
D’Escoublan chevalier
Desfourneaux Garoye
Desgouttes comte
Desmaisons Jean d’arvert
Didon Messac
Dietrich Alexis
Donis Louis
Dorigné Pierre dit Solignonne
D’0rsay
Dubillaud François
Dubreuil Rampillon
Duparc Baptiste
Duparc Pierre
Dupau Thomas
Duplessis Michel
Dupuy Jean
Duquesne  Comte
Durand Nicolas
Duras Mme de 
Duroch demoiselle
Durocher Etienne
