unittitle,function
"Adrien, Veuve Timothée",Personne
"Aigron, Demoiselle",Personne
"Albert, Jean",Personne
"Aldin, Jean (alias Alding)",Personne
"Alizeau, François",Personne
"Allain, Pierre",Personne
"Allaire Dubeignon, Henry",Personne
"Allaire, Louis",Personne
Allard,Personne
Alvarez,Personne
Amoreux,Personne
Anceau,Personne
André,Personne
"Aniaba, prince d'Assinie",Personne
Apoil,Personne
Ardouin,Personne
Argenton,Personne
Argoud,Personne
Arnaud,Personne
Arnaudin,Personne
Arnoul,Personne
Astier (alias Hastier),Personne
Astruc,Personne
Aubouin,Personne
"Aubry, Marie-Françoise",Personne
"Audebert (alias Audibert) de la Morinière, Théophile",Personne
Audet,Personne
Audureau,Personne
Auger,Personne
"Ausourd, Jean",Personne
Aynesy,Personne
"Baatz, Charles de",Personne
"Babin, Elie",Personne
"Bacher, Charles",Personne
"Bagneux, Sieur de",Personne
Baguet,Personne
"Bailleul, Sieur de",Personne
Balan,Personne
Balon,Personne
"Banville, Sieur de",Personne
Baptiste,Personne
Baragué,Personne
"Barail (alias Barrail, Barrailh)",Personne
Barault (alias Bareau),Personne
"Barbaut, Jacques",Personne
"Barbaut, Marianne",Personne
Barbeau,Personne
Barbeau des conches,Personne
Barber,Personne
"Barbesieux, Louis-François-Marie Le Tellier",Personne
Barbot,Personne
Barcanon,Personne
Bardet de Boisneau,Personne
"Bardet, Demoiselle",Personne
Bardreau,Personne
Baroil,Personne
"Baroire, le président de",Personne
Barreau,Personne
Bart,Personne
Bassemaison,Personne
Basset,Personne
Bastet,Personne
"Basville, Nicolas de Lamoignon",Personne
Baubriant (alias Baubriand),Personne
"Bauché, Blaise",Personne
Baudin,Personne
Baudouin,Personne
Baudran,Personne
Baudré,Personne
"Baugier, Edmé-Antoine",Personne
Baurie,Personne
"Beat, Isaac",Personne
"Beaubriand-Levêque, Sieur de",Personne
"Beauharnais, de",Personne
"Beaujeu, Le chevalier de",Personne
Beaulieu,Personne
"Beaumont, Sieur de",Personne
Beauregard,Personne
"Beaurepaire, Sieur de",Personne
"Beauvais, Sieur de",Personne
"Beccancourt, Le chevalier de",Personne
Béchet,Personne
"Béchet, les frères",Personne
"Bégon, Michel",Personne
Belcier,Personne
"Bellair, Sieur de",Personne
"Belle-Isle, Sieur de",Personne
Bellefonds,Personne
"Bellefonds, Sieur de",Personne
Bellinzani,Personne
"Bellisle Errard, Sieur de",Personne
"Bellisle, Sieur de",Personne
"Belmont, de",Personne
Belon,Personne
Belot-Lamoureux,Personne
"Bennes, Sieur de",Personne
Béraud,Personne
Béraut,Personne
"Béreau, Pierre",Personne
Bergeron,Personne
Bernabeau,Personne
"Bernage, Sieur de",Personne
Bernard,Personne
Berne,Personne
"Béroule, Sieur de",Personne
"Berteau, Pierre",Personne
Berthelot,Personne
Berthelot de Préneuf,Personne
Bertin,Personne
"Besons, M. de",Personne
Besson,Personne
Beurrey,Personne
Bezart,Personne
"Bezons, Louis Bazin de",Personne
Bidé de La Granville,Personne
Bidé de Maurville,Personne
Bignon,Personne
Bigot,Personne
"Billy, Sieur de",Personne
"Binau, Demoiselle",Personne
Binaud,Personne
Binault,Personne
Bions,Personne
Bithomas,Personne
Blain,Personne
Blainville,Personne
Blanchard,Personne
Blatin,Personne
"Blénac Roumegoux, Sieur de",Personne
"Blénac, Sieur de",Personne
"Bleor, François Bitaud de",Personne
"Blésac, de",Personne
"Bochard, de Sarron",Personne
"Bochet, Blaise",Personne
Bœuf,Personne
"Boireau, Jacques",Personne
"Boireau, Mathurin",Personne
"Boisragon, Demoiselle de",Personne
Boisseau,Personne
"Boissyraymé, de",Personne
Bonaud,Personne
"Bonnaire, de",Personne
"Bonnaventure, M. de",Personne
"Bonneau, Dame",Personne
"Bonnegens, Sieur de",Personne
"Bonnemie, de",Personne
Bonnemort,Personne
Bonnet,Personne
"Bonnichon, Julien",Personne
"Bonrepaus, M. de",Personne
Bordères,Personne
Bordier,Personne
Borie,Personne
Bostuste,Personne
Bouchet,Personne
Bouchu,Personne
"Bouffard, Dame",Personne
Bouillet,Personne
Bouraud,Personne
Bourdet,Personne
"Bouridal, de",Personne
Bourigaud,Personne
Bourlet,Personne
"Bourry, de",Personne
"Boutein, Moyse",Personne
"Boutin, Guillame",Personne
Boutineau,Personne
"Boutteville, dit La feuille",Personne
"Boutteville, M. de",Personne
"Bouvier, Jean",Personne
"Bouville, M. de",Personne
Boyer,Personne
Brach,Personne
"Brache, Sieur de",Personne
"Brandebourg, M. de",Personne
Breard,Personne
"Breman (alias Brement), Michel",Personne
Bremant,Personne
"Bressac, Madame de",Personne
"Bretueil, M. de",Personne
"Breüil, Sieur de",Personne
"Breuilles, Sieur de",Personne
Bricard,Personne
Brisacier,Personne
Brochard,Personne
Brodart,Personne
Brossard des Broues,Personne
"Broteau, François",Personne
Brousson,Personne
Brun,Personne
"Brunel, Benoît",Personne
Brunelière,Personne
"Brunier, Jean",Personne
Buiret,Personne
Buirette,Personne
Buisson,Personne
Bureau,Personne
Burgauld,Personne
"Burgues, Sieur de",Personne
"Bury, Jacques",Personne
"Busnot, Marie",Personne
"Bussac, Demoiselles de",Personne
But,Personne
"Cabanac, Sieur de (alias Cabanat)",Personne
Cabèce,Personne
Caillau,Personne
"Caillières, de",Personne
Candé,Personne
Candezze,Personne
Cannet,Personne
Capiau,Personne
"Cardaillac, Le chevalier de",Personne
Carré,Personne
Cartereau (alias Cartreau),Personne
"Cartigny, de",Personne
Carton,Personne
"Carzon, François",Personne
"Cassel, Fleury du",Personne
Castain (alias Castaing),Personne
"Castaing, François",Personne
"Castigny, Sieur de (ou Cartigny)",Personne
Catalan,Personne
"Caumartin, Louis-Urbain de",Personne
Caumont,Personne
"Cazaus, de",Personne
Cazeville,Personne
Ceberet,Personne
"Chaban, Sieur de",Personne
Chabert,Personne
Chabot,Personne
"Chadefeau, Antoine",Personne
Chaigneau,Personne
Chaillaud,Personne
Chaillé,Personne
Chaintreau,Personne
Chaix,Personne
"Chalais, Le chevalier de",Personne
"Chalumeau, Veuve",Personne
Chamblé,Personne
"Chambon, Galien de",Personne
"Chamillart, Le chevalier de",Personne
"Champigny, de",Personne
"Champmeslin, de",Personne
Chanlatte,Personne
"Chanvry, Antoine",Personne
Chapotot,Personne
Charitte,Personne
Charles,Personne
Charonnier,Personne
Charrier,Personne
"Charrières, de",Personne
Charrin,Personne
"Charron de Salles, Le sieur de",Personne
"Chasseloup, Demoiselle",Personne
Chasteauneuf,Personne
"Chastelain, Dame",Personne
"Chastillon, Sieur de",Personne
"Chateaufort, Sieur de",Personne
"Chateauguillaume, Sieur de",Personne
"Chateaumorant, de",Personne
chateauneuf,Personne
"Chateaurenault, François-Louis Rousselet",Personne
"Chatellaillon, M. de",Personne
"Chaulnes, M. de",Personne
Chaumel,Personne
Chauveau,Personne
"Chauvet, François",Personne
"Chavagnac, de",Personne
Chaviteau,Personne
"Chaviteau, Jacques",Personne
Cheise,Personne
Chenevois,Personne
Cheroutel,Personne
"Cheury, Marquis de",Personne
Chevalier,Personne
"Chevreuse, Duc de",Personne
"Chevrières, sieur de",Personne
"Chevry, Marquis de",Personne
Chezant,Personne
"Ciré, Marquis de",Personne
Clairambault,Personne
Clairau,Personne
Clairville,Personne
"Clancy, de",Personne
Claverie,Personne
"Clérac, Sieur de",Personne
Clercau,Personne
Clereau,Personne
"Cloche, Le Père",Personne
Coderk,Personne
"Coëtlogon, Le chevalier de",Personne
Coigné,Personne
Colardeau,Personne
Colbert de Terron,Personne
Colineau,Personne
"Combes, Sieur de",Personne
Compagnon,Personne
Comte,Personne
"Conteneuil, Sieur de",Personne
"Contre, de",Personne
"Contreblénac, de",Personne
Corbineau,Personne
"Cordemoy, L'abbé de",Personne
Cordier,Personne
Corlieu,Personne
Cormier,Personne
"Costebelle, Sieur de",Personne
Cotreau,Personne
Coulomb,Personne
Coulombe,Personne
Coulonge,Personne
"Courbasson, Sieur de",Personne
"Courbon Saint-Léger, M. de",Personne
