page	contenu	tome	ID	cID	lieu	test_lieu
3	Ecrivain entretenu ayant l'inspection de la Corderie.	3	P136	C731	['la Corderie']	la Corderie
3	A manqué de déférence envers le commissaire de Langlade, il lui fera des excuses.	3	P136	C725	['Langlade']	Langlade
6	Il demande la demi-solde. Le roi lui accorde la moitié de sa solde comme retraité. Son successeur Braconnier arrive de Dunkerque.	4	P136	C734	['Dunkerque']	Dunkerque
6	Nommé garde-magasin en 1707, n'avait pas fait de recensement en prenant son service. Le contrôleur Bénard signale, en 1712, qu'il manquait plus de 20000 pièces bois. Le Roi voulait qu'Argenton fut poursuivi pour rendre compte de ce déficit. L'affaire s’arrangera.	4	P136	C736	['Argenton']	Argenton
90	Doit venir à Rochefort.	1	P157	C832	['Rochefort']	Rochefort
90	A fait un voyage aux Pyrénées pour surveiller la fourniture des mâts.	1	P157	C830	['Pyrénées']	Pyrénées
90	A fait un voyage aux Pyrénées pour surveiller la fourniture des mâts.	1	P157	C831	['Pyrénées']	Pyrénées
91	En septembre 1673 il commande l'Hirondelle et croisait en vu de Saint-Sébatien et de Bilbao.	1	P328	C2408	['Hirondelle', 'Saint-Sébatien', 'Bilbao']	Hirondelle,Saint-Sébatien,Bilbao
94	Fut fermier général en 1692. Munistionnaire, fournira 4 mois de vivres au Tigre.	1	P512	C2813	['Tigre']	Tigre
110	"Chevalier puis comte, puis en 1704 marquis de Chateaurenault, né le 22 septembre 1637, lieutenant de vaisseau en 1661, capitaine le 9 mars 1666, chef d'escadre le 18 septembre 1673, lieutenant général le 5 février 1688, vice-amiral du Levant le 1er juin 1701, maréchal le 14 janvier 1703, chevalier du Saint-Esprit le 3 février 1705, Grand Croix de Saint Louis en 1693, mort le 15 novembre 1715.
Une flûte chargé de vivres va rejoindre son escadre à Cadix."	1	P2181	C7643	['Chateaurenault', 'Levant', 'Saint-Esprit', 'Cadix']	Chateaurenault,Levant,Saint-Esprit,Cadix
110	On lui envoie du renfort pour combattre les corsaires hollandais dans les rades de Biscaye et de Gallice.	1	P2181	C7654	['Biscaye', 'Gallice']	Biscaye,Gallice
110	Fait escorter jusqu'à Rochefort par le sieur Gabaret, les prises le Saint Cosme et le Cygne Blanc, qu'il a faites l'année dernière.	1	P2181	C7644	['Rochefort']	Rochefort
110	Rentre à Brest avec son escadre, débarque 700 malades.	1	P2181	C7656	['Brest']	Brest
113	Intendant de la Marine. Mort le 9 avril 1684. Malade, a quitté Rochefort.	1	P2465	C8332	['Rochefort']	Rochefort
113	Parti de Rochefort le 16 juin 1673.	1	P2465	C8333	['Rochefort']	Rochefort
113	Va arriver à La Rochelle. 	1	P2465	C8334	['La Rochelle']	La Rochelle
118	Marquis. Né à Honfleur, enseigne de vaisseau en 1665, capitaine en 1666, chef d'escadre du Languedoc en 1675, lieutenant général en 1688, mort le 2 novembre 1692. Prendra le commandement des trois vaisseaux : le Prince, le Sage et l'Aquilon, et se rendra dans la baie de Cadix.	1	P2785	C10336	['Honfleur', 'Languedoc', 'baie de Cadix']	Honfleur,Languedoc,baie de Cadix
