unittitle,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,sserie,serie,ssserie,atl,mf,dateD,dateF,ID,cID,aID
Argenton,0,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,32.0,1.0,1672,1672,P123,C602,MR1E32
Argenton,477,621,713,,,,,,,,,,,,,,,,,,,,,,,1,E,,56.0,12.0,1706,1706,P123,C603,MR1E56
Argenton,68,187,,,,,,,,,,,,,,,,,,,,,,,,1,E,,59.0,15.0,1707,1707,P123,C599,MR1E59
Argenton,191,399,451,,,,,,,,,,,,,,,,,,,,,,,1,E,,59.0,15.0,1707,1707,P123,C612,MR1E59
Argenton,121,296,312,,,,,,,,,,,,,,,,,,,,,,,1,E,,61.0,16.0,1707,1707,P123,C612,MR1E61
Argenton,261,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,70.0,21.0,1710,1710,P123,C613,MR1E
Argenton,351,473,,,,,,,,,,,,,,,,,,,,,,,,1,E,,70.0,21.0,1710,1710,P123,C597,MR1E
Argenton,383,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,75.0,24.0,1711,1711,P123,C604,MR1E75
Argenton,526,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,75.0,24.0,1711,1711,P123,C605,MR1E75
Argenton,41,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,76.0,24.0,1711,1711,P123,C607,MR1E76
Argenton,43,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,76.0,24.0,1711,1711,P123,C600,MR1E76
Argenton,269,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,77.0,25.0,1712,1712,P123,C601,MR1E77
Argenton,129,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,78.0,25.0,1712,1712,P123,C601,MR1E78
Argenton,189,301,439,,,,,,,,,,,,,,,,,,,,,,,1,E,,78.0,25.0,1712,1712,P123,C611,MR1E78
Argenton,309,,,,,,,,,,,,,,,,,,,,,,,,,1,E,,79.0,26.0,1712,1712,P123,C609,MR1E79
