page,tome,ID,cID
89,1,P123,C602
3,3,P123,C603
3,3,P123,C599
3,3,P123,C612
3,3,P123,C613
3,3,P123,C597
6,4,P123,C604
6,4,P123,C605
6,4,P123,C607
6,4,P123,C600
6,4,P123,C601
6,4,P123,C611
6,4,P123,C609
6,4,P123,C610
6,4,P123,C598
6,4,P123,C606
6,4,P123,C608
90,1,P143,C697
90,1,P143,C695
90,1,P143,C696
90,1,P143,C698
3,3,P143,C699
91,1,P297,C2196
92,1,P373,C2317
94,1,P459,C2507
110,1,P1988,C6691
110,1,P1988,C6702
110,1,P1988,C6694
110,1,P1988,C6701
110,1,P1988,C6703
110,1,P1988,C6692
110,1,P1988,C6693
110,1,P1988,C6700
110,1,P1988,C6695
110,1,P1988,C6696
110,1,P1988,C6697
110,1,P1988,C6698
110,1,P1988,C6699
110,1,P1988,C6704
113,1,P2245,C7276
113,1,P2245,C7277
113,1,P2245,C7278
255,1,A67,C7807
118,1,P2535,C9141
118,1,P2535,C9142
125,1,P2601,C9360
125,1,P2601,C9358
125,1,P2601,C9359
125,1,P2601,C9361
125,1,P2601,C9357
123,1,P2974,C10442
123,1,P2974,C10445
123,1,P2974,C10446
123,1,P2974,C10447
123,1,P2974,C10448
123,1,P2974,C10449
124,1,P2974,C10450
124,1,P2974,C10451
124,1,P2974,C10443
124,1,P2974,C10444
133,1,P3430,C12038
133,1,P3430,C12039
133,1,P3430,C12037
133,1,P3430,C12036
134,1,P3449,C12080
259,1,A130,C13996
157,1,P5074,C17632
222,1,B303,C17844
222,1,B303,C17839
222,1,B303,C17840
222,1,B303,C17841
222,1,B303,C17842
222,1,B303,C17843
222,1,B303,C17845
222,1,B303,C17847
222,1,B303,C17846
223,1,B310,C17871
223,1,B310,C17867
223,1,B310,C17865
223,1,B310,C17866
223,1,B310,C17864
223,1,B310,C17870
223,1,B310,C17868
223,1,B310,C17869
224,1,B311,C17873
224,1,B311,C17872
241,1,B348,C18059
241,1,B348,C18057
241,1,B348,C18058
239,1,B377,C18284
239,1,B377,C18283
158,1,P5237,C18647
158,1,P5275,C18716
158,1,P5275,C18717
167,1,P5722,C19659
167,1,P5722,C19660
168,1,P5741,C19720
168,1,P5741,C19719
168,1,P5741,C19718
117,2,P5741,C19721
233,1,B437,C20465
233,1,B437,C20466
243,1,B475,C20563
243,1,B475,C20564
244,1,B483,C20575
245,1,B491,C20595
245,1,B491,C20596
245,1,B491,C20597
245,1,B493,C20599
247,1,B499,C20618
247,1,B499,C20616
247,1,B499,C20615
247,1,B499,C20617
247,1,B499,C20614
