nom,type,ID
"Adrien, Veuve Timothée",P,P17
"Aigron, Demoiselle",P,P25
"Albert, Jean",P,P33
"Aldin, Jean (alias Alding)",P,P35
"Alizeau, François",P,P40
"Allain, Pierre",P,P44
"Allaire Dubeignon, Henry",P,P46
"Allaire, Louis",P,P49
Allard,P,P51
Alvarez,P,P67
Amoreux,P,P84
Anceau,P,P88
André,P,P93
"Aniaba, prince d'Assinie",P,P100
Apoil,P,P108
Ardouin,P,P120
Argenton,P,P123
Argoud,P,P126
Arnaud,P,P130
Arnaudin,P,P138
Arnoul,P,P143
Astier (alias Hastier),P,P158
Astruc,P,P160
Aubouin,P,P176
"Aubry, Marie-Françoise",P,P180
"Audebert (alias Audibert) de la Morinière, Théophile",P,P183
Audet,P,P184
Audureau,P,P197
Auger,P,P201
"Ausourd, Jean",P,P221
Aynesy,P,P240
"Baatz, Charles de",P,P243
"Babin, Elie",P,P254
"Bacher, Charles",P,P263
"Bagneux, Sieur de",P,P267
Baguet,P,P269
"Bailleul, Sieur de",P,P274
Balan,P,P281
Balon,P,P291
"Banville, Sieur de",P,P297
Baptiste,P,P299
Baragué,P,P301
"Barail (alias Barrail, Barrailh)",P,P302
Barault (alias Bareau),P,P316
"Barbaut, Jacques",P,P319
"Barbaut, Marianne",P,P320
Barbeau,P,P325
Barbeau des conches,P,P326
Barber,P,P329
"Barbesieux, Louis-François-Marie Le Tellier",P,P331
Barbot,P,P338
Barcanon,P,P345
Bardet de Boisneau,P,P349
"Bardet, Demoiselle",P,P351
Bardreau,P,P359
Baroil,P,P372
"Baroire, le président de",P,P373
Barreau,P,P388
Bart,P,P407
Bassemaison,P,P413
Basset,P,P414
Bastet,P,P421
"Basville, Nicolas de Lamoignon",P,P425
Baubriant (alias Baubriand),P,P431
"Bauché, Blaise",P,P434
Baudin,P,P438
Baudouin,P,P444
Baudran,P,P449
Baudré,P,P455
"Baugier, Edmé-Antoine",P,P459
Baurie,P,P468
"Beat, Isaac",P,P477
"Beaubriand-Levêque, Sieur de",P,P480
"Beauharnais, de",P,P508
"Beaujeu, Le chevalier de",P,P517
Beaulieu,P,P521
"Beaumont, Sieur de",P,P537
Beauregard,P,P544
"Beaurepaire, Sieur de",P,P551
"Beauvais, Sieur de",P,P564
"Beccancourt, Le chevalier de",P,P577
Béchet,P,P1498
"Béchet, les frères",P,P1501
"Bégon, Michel",P,P1510
Belcier,P,P595
"Bellair, Sieur de",P,P610
"Belle-Isle, Sieur de",P,P614
Bellefonds,P,P618
"Bellefonds, Sieur de",P,P620
Bellinzani,P,P633
"Bellisle Errard, Sieur de",P,P637
"Bellisle, Sieur de",P,P640
"Belmont, de",P,P655
Belon,P,P659
Belot-Lamoureux,P,P665
"Bennes, Sieur de",P,P680
Béraud,P,P1529
Béraut,P,P1533
"Béreau, Pierre",P,P1534
Bergeron,P,P700
Bernabeau,P,P705
"Bernage, Sieur de",P,P708
Bernard,P,P712
Berne,P,P722
"Béroule, Sieur de",P,P1538
"Berteau, Pierre",P,P745
Berthelot,P,P754
Berthelot de Préneuf,P,P759
Bertin,P,P767
"Besons, M. de",P,P783
Besson,P,P787
Beurrey,P,P798
Bezart,P,P801
"Bezons, Louis Bazin de",P,P804
Bidé de La Granville,P,P809
Bidé de Maurville,P,P810
Bignon,P,P814
Bigot,P,P817
"Billy, Sieur de",P,P841
"Binau, Demoiselle",P,P843
Binaud,P,P844
Binault,P,P847
Bions,P,P852
Bithomas,P,P867
Blain,P,P873
Blainville,P,P875
Blanchard,P,P879
Blatin,P,P894
"Blénac Roumegoux, Sieur de",P,P910
"Blénac, Sieur de",P,P913
"Bleor, François Bitaud de",P,P897
"Blésac, de",P,P917
"Bochard, de Sarron",P,P920
"Bochet, Blaise",P,P921
Bœuf,P,P1546
"Boireau, Jacques",P,P933
"Boireau, Mathurin",P,P934
"Boisragon, Demoiselle de",P,P976
Boisseau,P,P989
"Boissyraymé, de",P,P1003
Bonaud,P,P1019
"Bonnaire, de",P,P1034
"Bonnaventure, M. de",P,P1040
"Bonneau, Dame",P,P1052
"Bonnegens, Sieur de",P,P1056
"Bonnemie, de",P,P1061
Bonnemort,P,P1064
Bonnet,P,P1066
"Bonnichon, Julien",P,P1076
"Bonrepaus, M. de",P,P1082
Bordères,P,P1106
Bordier,P,P1102
Borie,P,P1108
Bostuste,P,P1121
Bouchet,P,P1132
Bouchu,P,P1139
"Bouffard, Dame",P,P1148
Bouillet,P,P1157
Bouraud,P,P1179
Bourdet,P,P1182
"Bouridal, de",P,P1212
Bourigaud,P,P1214
Bourlet,P,P1217
"Bourry, de",P,P1222
"Boutein, Moyse",P,P1232
"Boutin, Guillame",P,P1241
