page,contenu,tome,ID,cID
89,Ecrivain de la corderie.,1,P123,C602
3,Ecrivain entretenu ayant l'inspection de la Corderie.,3,P123,C603
3,"Aura la place de garde magasin du port vacante par la mort du sieur Fénarois, il devra faire une pension de 200 livres à la fille de ce dernier.",3,P123,C599
3,Son logement.,3,P123,C612
3,Subordonné au commissaire chargé du magasin général.,3,P123,C613
3,"A manqué de déférence envers le commissaire de Langlade, il lui fera des excuses.",3,P123,C597
6,Garde-magasin. A désobéi aux ordres de monsieur Pajot. Il est interdit jusqu'à nouvel ordre.,4,P123,C604
6,Il a écrit au ministre pour expliquer son affaire et s'excuser.Inutile.,4,P123,C605
6,Le forcer à payer à la veuve Ferrarois la pension de 200 livres qu'il lui doit pour la charge de son mari.,4,P123,C607
6,Déclaration de monsieur Argenton à ce sujet.,4,P123,C600
6,Déclaration de monsieur Argenton à ce sujet.,4,P123,C601
6,"Sa fille est mariée à monsieur Amouretti, sculpteur.",4,P123,C611
6,Réclamation de la veuve Ferrarois.,4,P123,C609
6,Réclamation de la veuve Ferrarois.,4,P123,C610
6,A été interdit et remplacé par le sieur Le Roy.,4,P123,C598
6,Il demande la demi-solde. Le roi lui accorde la moitié de sa solde comme retraité. Son successeur Braconnier arrive de Dunkerque.,4,P123,C606
6,"Nommé garde-magasin en 1707, n'avait pas fait de recensement en prenant son service. Le contrôleur Bénard signale, en 1712, qu'il manquait plus de 20000 pièces bois. Le Roi voulait qu'Argenton fut poursuivi pour rendre compte de ce déficit. L'affaire s’arrangera.",4,P123,C608
90,Doit venir à Rochefort.,1,P143,C697
90,A fait un voyage aux Pyrénées pour surveiller la fourniture des mâts.,1,P143,C695
90,A fait un voyage aux Pyrénées pour surveiller la fourniture des mâts.,1,P143,C696
90,Fait une tournée dans les ports pour organiser le service des classes.,1,P143,C698
3,Fournisseur de chanvre.,3,P143,C699
91,En septembre 1673 il commande l'Hirondelle et croisait en vu de Saint-Sébatien et de Bilbao.,1,P297,C2196
92,"Administre les biens de sa nièce absente, se plaint des dégâts qu'on y a fait sous prétexte de prendre de la pierre pour les fortifications.",1,P373,C2317
94,"Fut fermier général en 1692. Munistionnaire, fournira 4 mois de vivres au Tigre.",1,P459,C2507
110,"Chevalier puis comte, puis en 1704 marquis de Chateaurenault, né le 22 septembre 1637, lieutenant de vaisseau en 1661, capitaine le 9 mars 1666, chef d'escadre le 18 septembre 1673, lieutenant général le 5 février 1688, vice-amiral du Levant le 1er juin 1701, maréchal le 14 janvier 1703, chevalier du Saint-Esprit le 3 février 1705, Grand Croix de Saint Louis en 1693, mort le 15 novembre 1715.
Une flûte chargé de vivres va rejoindre son escadre à Cadix.",1,P1988,C6691
110,On lui envoie du renfort pour combattre les corsaires hollandais dans les rades de Biscaye et de Gallice.,1,P1988,C6702
110,"Il est important de lui envoyer des renforts, il doit protéger le retour des Terre-neuviers qui ont été pris en grand nombre l'année précédente, par les corsaires hollandais.",1,P1988,C6694
110,Nécessité de renforcer son escadre.,1,P1988,C6701
110,Préparer des vivres pour son escadre.,1,P1988,C6703
110,"Fait escorter jusqu'à Rochefort par le sieur Gabaret, les prises le Saint Cosme et le Cygne Blanc, qu'il a faites l'année dernière.",1,P1988,C6692
110,Gabaret commandant le Vigilant va lui porter les dépêches du Roi.,1,P1988,C6693
110,Lui donner le Belliqueux.,1,P1988,C6700
110,Le faire repartir.,1,P1988,C6695
110,Le faire repartir.,1,P1988,C6696
110,Le faire repartir.,1,P1988,C6697
110,Le faire repartir.,1,P1988,C6698
110,Le faire repartir.,1,P1988,C6699
110,"Rentre à Brest avec son escadre, débarque 700 malades.",1,P1988,C6704
113,"Intendant de la Marine. Mort le 9 avril 1684. Malade, a quitté Rochefort.",1,P2245,C7276
