unittitle,function,ID
"Adrien, Veuve Timothée",Personne,P17
"Aigron, Demoiselle",Personne,P25
"Albert, Jean",Personne,P33
"Aldin, Jean (alias Alding)",Personne,P35
"Alizeau, François",Personne,P40
"Allain, Pierre",Personne,P44
"Allaire Dubeignon, Henry",Personne,P46
"Allaire, Louis",Personne,P49
Allard,Personne,P51
Alvarez,Personne,P67
Amoreux,Personne,P84
Anceau,Personne,P88
André,Personne,P93
"Aniaba, prince d'Assinie",Personne,P100
Apoil,Personne,P108
Ardouin,Personne,P120
Argenton,Personne,P123
Argoud,Personne,P126
Arnaud,Personne,P130
Arnaudin,Personne,P138
Arnoul,Personne,P143
Astier (alias Hastier),Personne,P158
Astruc,Personne,P160
Aubouin,Personne,P176
"Aubry, Marie-Françoise",Personne,P180
"Audebert (alias Audibert) de la Morinière, Théophile",Personne,P183
Audet,Personne,P184
Audureau,Personne,P197
Auger,Personne,P201
"Ausourd, Jean",Personne,P221
Aynesy,Personne,P240
"Baatz, Charles de",Personne,P243
"Babin, Elie",Personne,P254
"Bacher, Charles",Personne,P263
"Bagneux, Sieur de",Personne,P267
Baguet,Personne,P269
"Bailleul, Sieur de",Personne,P274
Balan,Personne,P281
Balon,Personne,P291
"Banville, Sieur de",Personne,P297
Baptiste,Personne,P299
Baragué,Personne,P301
"Barail (alias Barrail, Barrailh)",Personne,P302
Barault (alias Bareau),Personne,P316
"Barbaut, Jacques",Personne,P319
"Barbaut, Marianne",Personne,P320
Barbeau,Personne,P325
Barbeau des conches,Personne,P326
Barber,Personne,P329
"Barbesieux, Louis-François-Marie Le Tellier",Personne,P331
Barbot,Personne,P338
Barcanon,Personne,P345
Bardet de Boisneau,Personne,P349
"Bardet, Demoiselle",Personne,P351
Bardreau,Personne,P359
Baroil,Personne,P372
"Baroire, le président de",Personne,P373
Barreau,Personne,P388
Bart,Personne,P407
Bassemaison,Personne,P413
Basset,Personne,P414
Bastet,Personne,P421
"Basville, Nicolas de Lamoignon",Personne,P425
Baubriant (alias Baubriand),Personne,P431
"Bauché, Blaise",Personne,P434
Baudin,Personne,P438
Baudouin,Personne,P444
Baudran,Personne,P449
Baudré,Personne,P455
"Baugier, Edmé-Antoine",Personne,P459
Baurie,Personne,P468
"Beat, Isaac",Personne,P477
"Beaubriand-Levêque, Sieur de",Personne,P480
"Beauharnais, de",Personne,P508
"Beaujeu, Le chevalier de",Personne,P517
Beaulieu,Personne,P521
"Beaumont, Sieur de",Personne,P537
Beauregard,Personne,P544
"Beaurepaire, Sieur de",Personne,P551
"Beauvais, Sieur de",Personne,P564
"Beccancourt, Le chevalier de",Personne,P577
Béchet,Personne,P1498
"Béchet, les frères",Personne,P1501
"Bégon, Michel",Personne,P1510
Belcier,Personne,P595
"Bellair, Sieur de",Personne,P610
"Belle-Isle, Sieur de",Personne,P614
Bellefonds,Personne,P618
"Bellefonds, Sieur de",Personne,P620
Bellinzani,Personne,P633
"Bellisle Errard, Sieur de",Personne,P637
"Bellisle, Sieur de",Personne,P640
"Belmont, de",Personne,P655
Belon,Personne,P659
Belot-Lamoureux,Personne,P665
"Bennes, Sieur de",Personne,P680
Béraud,Personne,P1529
Béraut,Personne,P1533
"Béreau, Pierre",Personne,P1534
Bergeron,Personne,P700
Bernabeau,Personne,P705
"Bernage, Sieur de",Personne,P708
Bernard,Personne,P712
Berne,Personne,P722
"Béroule, Sieur de",Personne,P1538
"Berteau, Pierre",Personne,P745
Berthelot,Personne,P754
Berthelot de Préneuf,Personne,P759
Bertin,Personne,P767
"Besons, M. de",Personne,P783
Besson,Personne,P787
Beurrey,Personne,P798
Bezart,Personne,P801
"Bezons, Louis Bazin de",Personne,P804
Bidé de La Granville,Personne,P809
Bidé de Maurville,Personne,P810
Bignon,Personne,P814
Bigot,Personne,P817
"Billy, Sieur de",Personne,P841
"Binau, Demoiselle",Personne,P843
Binaud,Personne,P844
Binault,Personne,P847
Bions,Personne,P852
Bithomas,Personne,P867
Blain,Personne,P873
Blainville,Personne,P875
Blanchard,Personne,P879
Blatin,Personne,P894
"Blénac Roumegoux, Sieur de",Personne,P910
"Blénac, Sieur de",Personne,P913
"Bleor, François Bitaud de",Personne,P897
"Blésac, de",Personne,P917
"Bochard, de Sarron",Personne,P920
"Bochet, Blaise",Personne,P921
Bœuf,Personne,P1546
"Boireau, Jacques",Personne,P933
"Boireau, Mathurin",Personne,P934
"Boisragon, Demoiselle de",Personne,P976
Boisseau,Personne,P989
"Boissyraymé, de",Personne,P1003
Bonaud,Personne,P1019
"Bonnaire, de",Personne,P1034
"Bonnaventure, M. de",Personne,P1040
"Bonneau, Dame",Personne,P1052
"Bonnegens, Sieur de",Personne,P1056
"Bonnemie, de",Personne,P1061
Bonnemort,Personne,P1064
Bonnet,Personne,P1066
"Bonnichon, Julien",Personne,P1076
"Bonrepaus, M. de",Personne,P1082
Bordères,Personne,P1106
Bordier,Personne,P1102
Borie,Personne,P1108
Bostuste,Personne,P1121
Bouchet,Personne,P1132
Bouchu,Personne,P1139
"Bouffard, Dame",Personne,P1148
Bouillet,Personne,P1157
Bouraud,Personne,P1179
Bourdet,Personne,P1182
"Bouridal, de",Personne,P1212
Bourigaud,Personne,P1214
Bourlet,Personne,P1217
"Bourry, de",Personne,P1222
"Boutein, Moyse",Personne,P1232
"Boutin, Guillame",Personne,P1241
Boutineau,Personne,P1243
"Boutteville, dit La feuille",Personne,P1252
"Boutteville, M. de",Personne,P1251
"Bouvier, Jean",Personne,P1255
"Bouville, M. de",Personne,P1257
Boyer,Personne,P1268
Brach,Personne,P1277
"Brache, Sieur de",Personne,P1281
"Brandebourg, M. de",Personne,P1295
Breard,Personne,P1310
"Breman (alias Brement), Michel",Personne,P1318
Bremant,Personne,P1321
"Bressac, Madame de",Personne,P1328
"Bretueil, M. de",Personne,P1341
"Breüil, Sieur de",Personne,P1345
"Breuilles, Sieur de",Personne,P1343
Bricard,Personne,P1354
Brisacier,Personne,P1365
Brochard,Personne,P1377
Brodart,Personne,P1383
Brossard des Broues,Personne,P1388
"Broteau, François",Personne,P1396
Brousson,Personne,P1403
Brun,Personne,P1414
"Brunel, Benoît",Personne,P1417
Brunelière,Personne,P1418
"Brunier, Jean",Personne,P1427
Buiret,Personne,P1458
Buirette,Personne,P1459
Buisson,Personne,P1461
Bureau,Personne,P1467
Burgauld,Personne,P1473
"Burgues, Sieur de",Personne,P1474
"Bury, Jacques",Personne,P1477
"Busnot, Marie",Personne,P1479
"Bussac, Demoiselles de",Personne,P1482
But,Personne,P1487
"Cabanac, Sieur de (alias Cabanat)",Personne,P1549
Cabèce,Personne,P1558
Caillau,Personne,P1573
"Caillières, de",Personne,P1580
Candé,Personne,P1620
Candezze,Personne,P1619
Cannet,Personne,P1623
Capiau,Personne,P1629
"Cardaillac, Le chevalier de",Personne,P1636
Carré,Personne,P1661
Cartereau (alias Cartreau),Personne,P1663
"Cartigny, de",Personne,P1666
Carton,Personne,P1668
"Carzon, François",Personne,P1672
"Cassel, Fleury du",Personne,P1677
Castain (alias Castaing),Personne,P1681
"Castaing, François",Personne,P1684
"Castigny, Sieur de (ou Cartigny)",Personne,P1690
Catalan,Personne,P1696
"Caumartin, Louis-Urbain de",Personne,P1702
Caumont,Personne,P1703
"Cazaus, de",Personne,P1727
Cazeville,Personne,P1732
Ceberet,Personne,P1733
"Chaban, Sieur de",Personne,P1743
Chabert,Personne,P1751
Chabot,Personne,P1757
"Chadefeau, Antoine",Personne,P1768
Chaigneau,Personne,P1773
Chaillaud,Personne,P1774
Chaillé,Personne,P1777
Chaintreau,Personne,P1780
Chaix,Personne,P1781
