function	ID	cID	geogname
Personne	P136	C730	
Personne	P136	C731	la Corderie
Personne	P136	C727	
Personne	P136	C740	
Personne	P136	C740	
Personne	P136	C741	
Personne	P136	C725	Langlade
Personne	P136	C732	
Personne	P136	C733	
Personne	P136	C735	
Personne	P136	C728	
Personne	P136	C729	
Personne	P136	C729	
Personne	P136	C739	
Personne	P136	C737	
Personne	P136	C737	
Personne	P136	C738	
Personne	P136	C726	
Personne	P136	C734	Dunkerque
Personne	P136	C736	Argenton
Personne	P157	C832	Rochefort
Personne	P157	C830	Pyrénées
Personne	P157	C831	Pyrénées
Personne	P157	C833	
Personne	P157	C834	
Personne	P328	C2408	Hirondelle, Saint-Sébatien, Bilbao
Personne	P415	C2566	
Personne	P512	C2813	Tigre
Personne	P2181	C7643	Chateaurenault, Levant, Saint-Esprit, Cadix
Personne	P2181	C7654	Biscaye, Gallice
Personne	P2181	C7646	
Personne	P2181	C7653	
Personne	P2181	C7655	
Personne	P2181	C7644	Rochefort
Personne	P2181	C7645	
Personne	P2181	C7655	
Personne	P2181	C7652	
Personne	P2181	C7647	
Personne	P2181	C7648	
Personne	P2181	C7649	
Personne	P2181	C7650	
Personne	P2181	C7651	
Personne	P2181	C7656	Brest
Personne	P2465	C8332	Rochefort
Personne	P2465	C8333	Rochefort
Personne	P2465	C8334	La Rochelle
Personne	P2785	C10336	Honfleur, Languedoc, baie de Cadix
Personne	P2785	C10337	
Personne	P2851	C10555	Boulonais, France, Amérique, Bretagne, Ponant, Tamise, Rochefort
Personne	P2851	C10553	Alger
Personne	P2851	C10554	Alger
Personne	P2851	C10556	
Personne	P2851	C10552	A
Personne	P3257	C11707	Rochefort, Havre, Dunkerque, Danemark, Ponant, Brest
Personne	P3257	C11710	Aunis
Personne	P3257	C11711	Aunis
Personne	P3257	C11712	Aunis
Personne	P3257	C11713	Aunis
Personne	P3257	C11714	
Personne	P3257	C11715	
Personne	P3257	C11716	
Personne	P3257	C11708	Brest
Personne	P3257	C11708	Brest
Personne	P3257	C11709	Brest
Personne	P3757	C13452	Havre
Personne	P3757	C13453	
Personne	P3757	C13451	
Personne	P3757	C13450	
