unittitle	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	sserie	serie	ssserie	atl	mf	dateD	dateF	ID	cID	aID
Argenton	0																									1	E		32	1.0	1672	1672	P136	C730	MR1E32
Argenton	477	621	713																							1	E		56	12.0	1706	1706	P136	C731	MR1E56
Argenton	68	187																								1	E		59	15.0	1707	1707	P136	C727	MR1E59
Argenton	191	399	451																							1	E		59	15.0	1707	1707	P136	C740	MR1E59
Argenton	121	296	312																							1	E		61	16.0	1707	1707	P136	C740	MR1E61
Argenton	261																									1	E		70	21.0	1710	1710	P136	C741	MR1E70
Argenton	351	473																								1	E		70	21.0	1710	1710	P136	C725	MR1E70
Argenton	383																									1	E		75	24.0	1711	1711	P136	C732	MR1E75
Argenton	526																									1	E		75	24.0	1711	1711	P136	C733	MR1E75
Argenton	41																									1	E		76	24.0	1711	1711	P136	C735	MR1E76
Argenton	43																									1	E		76	24.0	1711	1711	P136	C728	MR1E76
Argenton	269																									1	E		77	25.0	1712	1712	P136	C729	MR1E77
Argenton	129																									1	E		78	25.0	1712	1712	P136	C729	MR1E78
Argenton	189	301	439																							1	E		78	25.0	1712	1712	P136	C739	MR1E78
Argenton	309																									1	E		79	26.0	1712	1712	P136	C737	MR1E79
Argenton	343	421																								1	E		80	26.0	1712	1712	P136	C737	MR1E80
Argenton	867																									1	E		81	27.0	1713	1713	P136	C738	MR1E81
Argenton	61	433																								1	E		83	28.0	1713	1713	P136	C726	MR1E83
Argenton	406	459	483	793																						1	E		84	29.0	1714	1714	P136	C734	MR1E84
Argenton	89																									1	E		85	30.0	1714	1714	P136	C736	MR1E85
Arnoul	22																									1	E		32	1.0	1672	1672	P157	C832	MR1E32
Arnoul	136																									1	E		34	2.0	1690	1690	P157	C830	MR1E34
Arnoul	47	136																								1	E		35	2.0	1691	1691	P157	C831	MR1E35
Arnoul	337	384																								1	E		36	3.0	1693	1693	P157	C833	MR1E36
Arnoul	269																									1	E		67	19.0	1709	1709	P157	C834	MR1E67
Banville, Sieur de	0																									1	E		32	1.0	1672	1672	P328	C2408	MR1E32
Baroire, le président de	0																									1	E		32	1.0	1672	1672	P415	C2566	MR1E32
Baugier, Edmé-Antoine	62																									1	E		32	1.0	1672	1672	P512	C2813	MR1E32
