unittitle	function	ID
Argenton	Personne	P136
Arnoul	Personne	P157
Banville, Sieur de	Personne	P328
Baroire, le président de	Personne	P415
Baugier, Edmé-Antoine	Personne	P512
Chateaurenault, François-Louis Rousselet	Personne	P2181
Colbert de Terron	Personne	P2465
D'Amfreville	Personne	P2785
D'Estrées, Jean	Personne	P2851
Desclouzeaux, Hubert de Champy	Personne	P3257
Dumé d'Aplemont	Personne	P3757
Dupaty, Thibaud	Personne	P3779
Jugné, Madame de	Personne	P5579
Labarre, Antoine Lefebvre de	Personne	P5730
Laborde, Sieur de	Personne	P5770
Langeron, Joseph Andrault Marquis de	Personne	P6240
Languillet	Personne	P6258
Louvois, Le Marquis de	Personne	P7075
Maniban	Personne	P7269
Rangeart	Personne	P8974
Serpaut (alias Serpau, Serpaud, Serpault)	Personne	P9815
Thibaud Dupaty	Personne	P10082
Allaire, Louis	Personne	P50
Baatz, Charles de	Personne	P271
Barbaut, Jacques	Personne	P353
Bardet de Boisneau	Personne	P385
Beauregard	Personne	P606
Belcier	Personne	P660
Bellinzani	Personne	P702
Berthelot	Personne	P835
Bidé de La Granville	Personne	P901
Bleor, François Bitaud de	Personne	P993
Boyer	Personne	P1391
Breman (alias Brement), Michel	Personne	P1443
Brodart	Personne	P1519
Courbasson, Sieur de	Personne	P2610
Courtin	Personne	P2656
D'Almeras	Personne	P2780
D'Amblymont	Personne	P2783
D'Amblymont, Claude Renart de Fuchsamberg	Personne	P2784
Desgranges	Personne	P3305
Desnos	Personne	P3348
Duboisneau	Personne	P3538
Dulyon (alias Dulion)	Personne	P3699
Dumont, Charles, sieur de Blaignac	Personne	P3740
Duruau Pallu	Personne	P3915
Foureau, Gilbert	Personne	P4375
Gabaret d'Angoulins	Personne	P4480
Gabaret, Jean	Personne	P4490
Gallon (alias Gaallon)	Personne	P4553
Godefroy	Personne	P4853
Gombaud	Personne	P4877
Guichard	Personne	P5121
La Haye, Jacob Blanquet de	Personne	P5673
Labat, Sieur de	Personne	P5741
Laclocheterie, Louis Chadeau de	Personne	P5856
Larochecourbon, Madame de	Personne	P6393
Latour Dalliez	Personne	P6494
Levau	Personne	P6885
Lombard, Joseph	Personne	P6987
Mademoiselle de Montpensier	Personne	P7170
Mauclerc	Personne	P7513
Montortier	Personne	P7887
Montortier, de	Personne	P7888
Patoulet	Personne	P8396
Sève, M. de	Personne	P9966
Silly	Personne	P9848
Talon	Personne	P9999
Verneuil, René de	Personne	P10477
Notes, Mathieu	Personne	P8227
Béraut	Personne	P1687
Bithomas	Personne	P961
Cramahé	Personne	P2699
Dorogne	Personne	P3467
Fabre	Personne	P4098
Garnier	Personne	P4592
Laflèche, Sieur de	Personne	P5954
Lasalle, M. de	Personne	P6449
Laurier	Personne	P6552
Lescure	Personne	P6838
Lesdiguières, La Duchesse de	Personne	P6840
Lorance	Personne	P7018
Lourme	Personne	P7062
Manse, Sieur de	Personne	P7278
Mortemart, Duc de	Personne	P7980
Noailles, Le Chevalier de	Personne	P8168
Notes, Louis Delavaud	Personne	P8224
Rome	Personne	P9262
Vauvré, M. de	Personne	P10428
Viviers, M. de	Personne	P10639
Aigron, Demoiselle	Personne	P24
Anceau	Personne	P98
Barbaut, Marianne	Personne	P354
Bardet, Demoiselle	Personne	P387
Baudouin	Personne	P495
Beaumont, Sieur de	Personne	P596
Béchet	Personne	P1651
Bonrepaus, M. de	Personne	P1185
Bouffard, Dame	Personne	P1255
Cassel, Fleury du	Personne	P1853
Chaban, Sieur de	Personne	P1922
Chambon, Galien de	Personne	P1981
Champigny, de	Personne	P2009
Chatellaillon, M. de	Personne	P2188
Crammé	Personne	P2700
D'Auyau, des Fougères	Personne	P2824
Darcambal	Personne	P2983
Delacourt	Personne	P3102
Denonville, M. de	Personne	P3176
Dirac, Sieur de	Personne	P3421
Dubouchet	Personne	P3541
Dupille	Personne	P3793
Givry, de	Personne	P4844
Goezaud	Personne	P4867
Guellevin	Personne	P5092
