page	contenu	tome	ID	cID
89	Ecrivain de la corderie.	1	P136	C730
3	Ecrivain entretenu ayant l'inspection de la Corderie.	3	P136	C731
3	Aura la place de garde magasin du port vacante par la mort du sieur Fénarois, il devra faire une pension de 200 livres à la fille de ce dernier.	3	P136	C727
3	Son logement.	3	P136	C740
3	Subordonné au commissaire chargé du magasin général.	3	P136	C741
3	A manqué de déférence envers le commissaire de Langlade, il lui fera des excuses.	3	P136	C725
6	Garde-magasin. A désobéi aux ordres de monsieur Pajot. Il est interdit jusqu'à nouvel ordre.	4	P136	C732
6	Il a écrit au ministre pour expliquer son affaire et s'excuser.Inutile.	4	P136	C733
6	Le forcer à payer à la veuve Ferrarois la pension de 200 livres qu'il lui doit pour la charge de son mari.	4	P136	C735
6	Déclaration de monsieur Argenton à ce sujet.	4	P136	C728
6	Déclaration de monsieur Argenton à ce sujet.	4	P136	C729
6	Sa fille est mariée à monsieur Amouretti, sculpteur.	4	P136	C739
6	Réclamation de la veuve Ferrarois.	4	P136	C737
6	Réclamation de la veuve Ferrarois.	4	P136	C738
6	A été interdit et remplacé par le sieur Le Roy.	4	P136	C726
6	Il demande la demi-solde. Le roi lui accorde la moitié de sa solde comme retraité. Son successeur Braconnier arrive de Dunkerque.	4	P136	C734
6	Nommé garde-magasin en 1707, n'avait pas fait de recensement en prenant son service. Le contrôleur Bénard signale, en 1712, qu'il manquait plus de 20000 pièces bois. Le Roi voulait qu'Argenton fut poursuivi pour rendre compte de ce déficit. L'affaire s’arrangera.	4	P136	C736
90	Doit venir à Rochefort.	1	P157	C832
90	A fait un voyage aux Pyrénées pour surveiller la fourniture des mâts.	1	P157	C830
90	A fait un voyage aux Pyrénées pour surveiller la fourniture des mâts.	1	P157	C831
90	Fait une tournée dans les ports pour organiser le service des classes.	1	P157	C833
3	Fournisseur de chanvre.	3	P157	C834
91	En septembre 1673 il commande l'Hirondelle et croisait en vu de Saint-Sébatien et de Bilbao.	1	P328	C2408
92	Administre les biens de sa nièce absente, se plaint des dégâts qu'on y a fait sous prétexte de prendre de la pierre pour les fortifications.	1	P415	C2566
94	Fut fermier général en 1692. Munistionnaire, fournira 4 mois de vivres au Tigre.	1	P512	C2813
110	"Chevalier puis comte, puis en 1704 marquis de Chateaurenault, né le 22 septembre 1637, lieutenant de vaisseau en 1661, capitaine le 9 mars 1666, chef d'escadre le 18 septembre 1673, lieutenant général le 5 février 1688, vice-amiral du Levant le 1er juin 1701, maréchal le 14 janvier 1703, chevalier du Saint-Esprit le 3 février 1705, Grand Croix de Saint Louis en 1693, mort le 15 novembre 1715.
Une flûte chargé de vivres va rejoindre son escadre à Cadix."	1	P2181	C7643
110	On lui envoie du renfort pour combattre les corsaires hollandais dans les rades de Biscaye et de Gallice.	1	P2181	C7654
110	Il est important de lui envoyer des renforts, il doit protéger le retour des Terre-neuviers qui ont été pris en grand nombre l'année précédente, par les corsaires hollandais.	1	P2181	C7646
110	Nécessité de renforcer son escadre.	1	P2181	C7653
110	Préparer des vivres pour son escadre.	1	P2181	C7655
110	Fait escorter jusqu'à Rochefort par le sieur Gabaret, les prises le Saint Cosme et le Cygne Blanc, qu'il a faites l'année dernière.	1	P2181	C7644
110	Gabaret commandant le Vigilant va lui porter les dépêches du Roi.	1	P2181	C7645
110	Lui donner le Belliqueux.	1	P2181	C7652
110	Le faire repartir.	1	P2181	C7647
110	Le faire repartir.	1	P2181	C7648
110	Le faire repartir.	1	P2181	C7649
110	Le faire repartir.	1	P2181	C7650
110	Le faire repartir.	1	P2181	C7651
110	Rentre à Brest avec son escadre, débarque 700 malades.	1	P2181	C7656
113	Intendant de la Marine. Mort le 9 avril 1684. Malade, a quitté Rochefort.	1	P2465	C8332
113	Parti de Rochefort le 16 juin 1673.	1	P2465	C8333
113	Va arriver à La Rochelle. 	1	P2465	C8334
118	Marquis. Né à Honfleur, enseigne de vaisseau en 1665, capitaine en 1666, chef d'escadre du Languedoc en 1675, lieutenant général en 1688, mort le 2 novembre 1692. Prendra le commandement des trois vaisseaux : le Prince, le Sage et l'Aquilon, et se rendra dans la baie de Cadix.	1	P2785	C10336
118	Reçoit les ordres du Roi relatifs à son départ.	1	P2785	C10337
125	Comte d'Estrées, premier baron du Boulonais. Né en 1624, mort le 19 mai 1707, chevalier des ordres du Roi 1688, maréchal le 26 mars 1681, duc et pair de France, vice-roi de l'Amérique, gouverneur de Bretagne. Marié en 1658 à Marie-Marguerite Morin, morte en 1714. Il avait été fait vice-amiral du Ponant le 12 novembre 1669. L'escadre commandée par M. le comte d'Esrtées a quitté la Tamise depuis quelques jours et ses vaisseaux armés à Rochefort viendront bientôt y désarmer.	1	P2851	C10555
